# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL NCX:RYR2 (within-sample cell dispersion for Fig 2B overlay; NOT donor-level error; RYR2>0 cells)
group,ncx_over_ryr2
fetal_SAN_pace,1.5833
fetal_SAN_pace,4.2333
fetal_SAN_pace,1.4091
fetal_SAN_pace,1.6364
fetal_SAN_pace,2.2745
fetal_SAN_pace,1.4865
fetal_SAN_pace,2.3929
fetal_SAN_pace,1.7
fetal_SAN_pace,2.2625
fetal_SAN_pace,1.27
fetal_SAN_pace,1.0286
fetal_SAN_pace,1.8636
fetal_SAN_pace,2.0727
fetal_SAN_pace,2.7447
fetal_SAN_pace,2.56
fetal_SAN_pace,2.0612
fetal_SAN_pace,1.3462
fetal_SAN_pace,2.434
fetal_SAN_pace,1.4026
fetal_SAN_pace,2.5
fetal_SAN_pace,4.8
fetal_SAN_pace,1.3871
fetal_SAN_pace,4.3684
fetal_SAN_pace,1.7132
fetal_SAN_pace,3.125
fetal_SAN_pace,4.4444
fetal_SAN_pace,2.5556
fetal_SAN_pace,3.4091
fetal_SAN_pace,2.0
fetal_SAN_pace,3.2414
fetal_SAN_pace,0.6216
fetal_SAN_pace,2.45
fetal_SAN_pace,1.2143
fetal_SAN_pace,1.1456
fetal_SAN_pace,1.8378
fetal_SAN_pace,1.102
fetal_SAN_pace,1.3625
fetal_SAN_pace,1.4483
fetal_SAN_pace,2.1724
fetal_SAN_pace,0.7674
fetal_SAN_pace,1.8636
fetal_SAN_pace,2.3393
fetal_SAN_pace,4.6957
fetal_SAN_pace,1.3898
fetal_SAN_pace,2.2
fetal_SAN_pace,2.1
fetal_SAN_pace,7.4286
fetal_SAN_pace,0.75
fetal_SAN_pace,1.9694
fetal_SAN_pace,2.6744
fetal_SAN_pace,1.6905
fetal_SAN_pace,1.125
fetal_SAN_pace,1.4848
fetal_SAN_pace,6.2941
fetal_SAN_pace,1.475
fetal_SAN_pace,2.0882
fetal_SAN_pace,1.0952
fetal_SAN_pace,2.7925
fetal_SAN_pace,1.66
fetal_SAN_pace,2.4286
fetal_SAN_pace,1.125
fetal_SAN_pace,2.4565
fetal_SAN_pace,1.5472
fetal_SAN_pace,1.2143
fetal_SAN_pace,1.2571
fetal_SAN_pace,5.4595
fetal_SAN_pace,1.2936
fetal_SAN_pace,1.6
fetal_SAN_pace,2.8293
fetal_SAN_pace,1.6034
fetal_SAN_pace,2.8333
fetal_SAN_pace,1.8
fetal_SAN_pace,1.2424
fetal_SAN_pace,2.4792
fetal_SAN_pace,1.0704
fetal_SAN_pace,1.697
fetal_SAN_pace,2.0769
fetal_SAN_pace,3.2432
fetal_SAN_pace,3.3478
fetal_SAN_pace,0.6066
fetal_SAN_pace,1.0412
fetal_SAN_pace,2.9091
fetal_SAN_pace,1.1695
fetal_SAN_pace,1.4742
fetal_SAN_pace,1.3711
fetal_SAN_pace,1.1515
fetal_SAN_pace,7.1875
fetal_SAN_pace,1.9464
fetal_SAN_pace,1.5
fetal_SAN_pace,2.2927
fetal_SAN_pace,2.0
fetal_SAN_pace,2.3478
fetal_SAN_pace,1.7556
fetal_SAN_pace,1.0
fetal_SAN_pace,2.64
fetal_SAN_pace,3.0714
fetal_SAN_pace,2.5556
fetal_SAN_pace,0.7765
fetal_SAN_pace,1.2
fetal_SAN_pace,5.5714
fetal_SAN_pace,2.1667
fetal_SAN_pace,3.4783
fetal_SAN_pace,1.7273
fetal_SAN_pace,2.1765
fetal_SAN_pace,3.2414
fetal_SAN_pace,4.8462
fetal_SAN_pace,3.25
fetal_SAN_pace,1.6471
fetal_SAN_pace,3.1852
fetal_SAN_pace,1.6897
fetal_SAN_pace,1.4444
fetal_SAN_pace,0.9452
fetal_SAN_pace,2.3478
fetal_SAN_pace,1.5185
fetal_SAN_pace,3.0
fetal_SAN_pace,1.493
fetal_SAN_pace,2.0
fetal_SAN_pace,0.9688
fetal_SAN_pace,0.8222
fetal_SAN_pace,3.2286
fetal_SAN_pace,2.4884
fetal_SAN_pace,1.7925
fetal_SAN_pace,1.9787
fetal_SAN_pace,2.4103
fetal_SAN_pace,2.8421
fetal_SAN_pace,4.025
fetal_SAN_pace,1.5692
fetal_SAN_pace,1.186
fetal_SAN_pace,2.0816
fetal_SAN_pace,3.2
fetal_SAN_pace,2.0526
fetal_SAN_pace,1.0222
fetal_SAN_pace,1.5333
fetal_SAN_pace,0.9459
fetal_SAN_pace,2.2125
fetal_SAN_pace,3.0667
fetal_SAN_pace,3.3235
fetal_SAN_pace,1.6129
fetal_SAN_pace,1.5833
fetal_SAN_pace,5.4444
fetal_SAN_pace,1.8136
fetal_SAN_pace,1.8667
fetal_SAN_pace,1.7368
fetal_SAN_pace,1.3158
fetal_SAN_pace,1.9118
fetal_SAN_pace,3.84
fetal_SAN_pace,0.7273
fetal_SAN_pace,3.0857
fetal_SAN_pace,2.1429
fetal_SAN_pace,0.75
fetal_SAN_pace,3.72
fetal_SAN_pace,2.6296
fetal_SAN_pace,2.0
fetal_SAN_pace,1.4643
fetal_SAN_pace,0.95
fetal_SAN_pace,2.65
fetal_SAN_pace,1.2895
fetal_SAN_pace,2.0893
fetal_SAN_pace,3.1875
fetal_SAN_pace,4.4706
fetal_SAN_pace,1.2787
fetal_SAN_pace,0.7206
fetal_SAN_pace,2.2571
fetal_SAN_pace,2.1667
fetal_SAN_pace,1.375
fetal_SAN_pace,2.6182
fetal_SAN_pace,3.5778
fetal_SAN_pace,3.1538
fetal_SAN_pace,1.6667
fetal_SAN_pace,1.5065
fetal_SAN_pace,1.8108
fetal_SAN_pace,2.3793
fetal_SAN_pace,1.5529
fetal_SAN_pace,3.2568
fetal_SAN_pace,2.043
fetal_SAN_pace,1.6441
fetal_SAN_pace,2.25
fetal_SAN_pace,4.6857
fetal_SAN_pace,1.5926
fetal_SAN_pace,2.4762
fetal_SAN_pace,1.339
fetal_SAN_pace,1.024
fetal_SAN_pace,1.52
fetal_SAN_pace,0.9836
fetal_SAN_pace,1.4524
fetal_SAN_pace,4.4737
fetal_SAN_pace,3.102
fetal_SAN_pace,0.7907
fetal_SAN_pace,1.6571
fetal_SAN_pace,1.4684
fetal_SAN_pace,0.8571
fetal_SAN_pace,1.8125
fetal_SAN_pace,1.9655
fetal_SAN_pace,1.3333
fetal_SAN_pace,1.3854
fetal_SAN_pace,1.2857
fetal_SAN_pace,2.8889
fetal_SAN_pace,3.4
fetal_SAN_pace,2.5094
fetal_SAN_pace,2.0
fetal_SAN_pace,1.3012
fetal_SAN_pace,1.2245
fetal_SAN_pace,2.725
fetal_SAN_pace,3.3333
fetal_SAN_pace,0.8333
fetal_SAN_pace,1.4783
fetal_SAN_pace,2.8571
fetal_SAN_pace,2.4545
fetal_SAN_pace,3.7
fetal_SAN_pace,0.6818
fetal_SAN_pace,0.6905
fetal_SAN_pace,7.8649
fetal_SAN_pace,1.2911
fetal_SAN_pace,5.7692
fetal_SAN_pace,1.72
fetal_SAN_pace,2.5102
fetal_SAN_work,0.8615
fetal_SAN_work,1.0
fetal_SAN_work,1.7083
fetal_SAN_work,1.1842
fetal_SAN_work,1.16
fetal_SAN_work,2.0588
fetal_SAN_work,1.114
fetal_SAN_work,1.7101
fetal_SAN_work,3.0
fetal_SAN_work,0.7755
fetal_SAN_work,1.022
