# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: node-resolved fetal-vs-adult channel + Ca-handling expression by SAN/AVN/vCM; linear TP10K, within-dataset
group,group_label,dataset,n_cells,gene,label,family,mean_tp10k,detect_frac
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCNA5,Kv1.5 (IKur),K channel,0.0374,0.0449
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCND3,Kv4.3 (Ito),K channel,3.1083,0.6898
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCNJ2,Kir2.1 (IK1),K channel,0.0205,0.0286
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCNJ3,Kir3.1 (IKACh),K channel,22.6062,0.9347
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCNJ5,Kir3.4 (IKACh),K channel,0.2978,0.2
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,SCN5A,Nav1.5,Na channel,0.9581,0.3551
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,ATP1A1,Na/K-ATPase a1,Transporter,1.009,0.5143
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,HCN4,HCN4 (If),HCN,1.0175,0.4
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,HCN1,HCN1 (If),HCN,10.3407,0.7551
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,GJA5,Cx40 (GJA5),Identity,0.0653,0.049
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,GJC1,Cx45 (GJC1),Identity,0.9523,0.4735
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,TBX3,TBX3,Identity,1.875,0.5224
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,SHOX2,SHOX2,Identity,0.4507,0.2367
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,ISL1,ISL1,Identity,0.4246,0.1429
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CACNA1C,Cav1.2 (L),Ca channel,53.423,0.969
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CACNA1D,Cav1.3 (L),Ca channel,1.5573,0.5128
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CACNA1G,Cav3.1 (T),Ca channel,0.1545,0.1028
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CACNA1H,Cav3.2 (T),Ca channel,0.0267,0.0237
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CACNA1I,Cav3.3 (T),Ca channel,0.003,0.003
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,SLC8A1,NCX1,Ca handling,48.8335,0.9688
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,ATP2A2,SERCA2a,Ca handling,18.5676,0.9598
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,RYR2,RyR2,Ca handling,169.2518,0.9913
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,PLN,PLN,Ca handling,5.5036,0.8419
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CASQ2,CASQ2,Ca handling,4.4816,0.7918
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,ATP2B4,PMCA4,Ca handling,2.7122,0.6884
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,CALM1,CaM1,Ca handling,0.7778,0.4057
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCNH2,Kv11.1 (IKr),K channel,0.5546,0.3404
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCNQ1,Kv7.1 (IKs),K channel,2.3897,0.6749
adult_SAN_work,Adult SAN working,kanemaru_conduction,19190,KCNA5,Kv1.5 (IKur),K channel,0.1472,0.1073
