# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL surface-accessible Ca fraction (within-sample cell dispersion for Fig 2A overlay; NOT donor-level error)
group,surface_frac
fetal_SAN_pace,0.7218
fetal_SAN_pace,0.6344
fetal_SAN_pace,0.5818
fetal_SAN_pace,0.7545
fetal_SAN_pace,0.5866
fetal_SAN_pace,0.6426
fetal_SAN_pace,0.6707
fetal_SAN_pace,0.78
fetal_SAN_pace,0.7266
fetal_SAN_pace,0.4759
fetal_SAN_pace,0.5886
fetal_SAN_pace,0.6914
fetal_SAN_pace,0.5879
fetal_SAN_pace,0.6657
fetal_SAN_pace,0.6361
fetal_SAN_pace,0.5926
fetal_SAN_pace,0.8614
fetal_SAN_pace,0.7183
fetal_SAN_pace,0.5535
fetal_SAN_pace,0.7278
fetal_SAN_pace,0.62
fetal_SAN_pace,0.6699
fetal_SAN_pace,0.7048
fetal_SAN_pace,0.6429
fetal_SAN_pace,0.7647
fetal_SAN_pace,0.7467
fetal_SAN_pace,0.7255
fetal_SAN_pace,0.4588
fetal_SAN_pace,0.5625
fetal_SAN_pace,0.7678
fetal_SAN_pace,0.7044
fetal_SAN_pace,0.7421
fetal_SAN_pace,0.641
fetal_SAN_pace,0.691
fetal_SAN_pace,0.7917
fetal_SAN_pace,0.735
fetal_SAN_pace,0.7384
fetal_SAN_pace,0.6604
fetal_SAN_pace,0.7546
fetal_SAN_pace,0.5164
fetal_SAN_pace,0.6207
fetal_SAN_pace,0.5924
fetal_SAN_pace,0.6789
fetal_SAN_pace,0.6344
fetal_SAN_pace,0.75
fetal_SAN_pace,0.6422
fetal_SAN_pace,0.6559
fetal_SAN_pace,0.5259
fetal_SAN_pace,0.5083
fetal_SAN_pace,0.7635
fetal_SAN_pace,0.7181
fetal_SAN_pace,0.6505
fetal_SAN_pace,0.6436
fetal_SAN_pace,0.6809
fetal_SAN_pace,0.6863
fetal_SAN_pace,0.78
fetal_SAN_pace,0.6437
fetal_SAN_pace,0.5504
fetal_SAN_pace,0.6614
fetal_SAN_pace,0.7231
fetal_SAN_pace,0.6943
fetal_SAN_pace,0.5772
fetal_SAN_pace,0.6486
fetal_SAN_pace,0.528
fetal_SAN_pace,0.6364
fetal_SAN_pace,0.7432
fetal_SAN_pace,0.757
fetal_SAN_pace,0.6273
fetal_SAN_pace,0.617
fetal_SAN_pace,0.7759
fetal_SAN_pace,0.6965
fetal_SAN_pace,0.5905
fetal_SAN_pace,0.6
fetal_SAN_pace,0.6163
fetal_SAN_pace,0.6127
fetal_SAN_pace,0.7643
fetal_SAN_pace,0.5514
fetal_SAN_pace,0.7268
fetal_SAN_pace,0.6842
fetal_SAN_pace,0.5
fetal_SAN_pace,0.7576
fetal_SAN_pace,0.7538
fetal_SAN_pace,0.691
fetal_SAN_pace,0.6023
fetal_SAN_pace,0.532
fetal_SAN_pace,0.6739
fetal_SAN_pace,0.582
fetal_SAN_pace,0.722
fetal_SAN_pace,0.7267
fetal_SAN_pace,0.8243
fetal_SAN_pace,0.5867
fetal_SAN_pace,0.5307
fetal_SAN_pace,0.7152
fetal_SAN_pace,0.7143
fetal_SAN_pace,0.6348
fetal_SAN_pace,0.7312
fetal_SAN_pace,0.7366
fetal_SAN_pace,0.747
fetal_SAN_pace,0.6588
fetal_SAN_pace,0.6429
fetal_SAN_pace,0.6483
fetal_SAN_pace,0.7269
fetal_SAN_pace,0.625
fetal_SAN_pace,0.709
fetal_SAN_pace,0.6675
fetal_SAN_pace,0.6058
fetal_SAN_pace,0.736
fetal_SAN_pace,0.7857
fetal_SAN_pace,0.6569
fetal_SAN_pace,0.7149
fetal_SAN_pace,0.6033
fetal_SAN_pace,0.497
fetal_SAN_pace,0.6329
fetal_SAN_pace,0.5459
fetal_SAN_pace,0.6747
fetal_SAN_pace,0.7809
fetal_SAN_pace,0.716
fetal_SAN_pace,0.5556
fetal_SAN_pace,0.6098
fetal_SAN_pace,0.5967
fetal_SAN_pace,0.5407
fetal_SAN_pace,0.6974
fetal_SAN_pace,0.6949
fetal_SAN_pace,0.6531
fetal_SAN_pace,0.5926
fetal_SAN_pace,0.6413
fetal_SAN_pace,0.777
fetal_SAN_pace,0.754
fetal_SAN_pace,0.7775
fetal_SAN_pace,0.6513
fetal_SAN_pace,0.6136
fetal_SAN_pace,0.6457
fetal_SAN_pace,0.7217
fetal_SAN_pace,0.7767
fetal_SAN_pace,0.5178
fetal_SAN_pace,0.6364
fetal_SAN_pace,0.7081
fetal_SAN_pace,0.7
fetal_SAN_pace,0.8158
fetal_SAN_pace,0.5556
fetal_SAN_pace,0.5123
fetal_SAN_pace,0.8307
fetal_SAN_pace,0.5862
fetal_SAN_pace,0.8387
fetal_SAN_pace,0.7
fetal_SAN_pace,0.6699
fetal_SAN_work,0.6019
fetal_SAN_work,0.6757
fetal_SAN_work,0.7039
fetal_SAN_work,0.4
fetal_SAN_work,0.6335
fetal_SAN_work,0.6348
fetal_SAN_work,0.6971
fetal_SAN_work,0.6337
fetal_SAN_work,0.6747
fetal_SAN_work,0.5
fetal_SAN_work,0.5255
fetal_SAN_work,0.6322
fetal_SAN_work,0.5109
fetal_SAN_work,0.6135
fetal_SAN_work,0.4516
fetal_SAN_work,0.7244
fetal_SAN_work,0.6604
fetal_SAN_work,0.5836
fetal_SAN_work,0.6026
fetal_SAN_work,0.558
fetal_SAN_work,0.5256
fetal_SAN_work,0.3043
fetal_SAN_work,0.5305
fetal_SAN_work,0.5402
fetal_SAN_work,0.3913
fetal_SAN_work,0.7006
fetal_SAN_work,0.6476
fetal_SAN_work,0.4667
fetal_SAN_work,0.6453
fetal_SAN_work,0.6864
fetal_SAN_work,0.6419
fetal_SAN_work,0.4014
fetal_SAN_work,0.5918
fetal_SAN_work,0.5815
fetal_SAN_work,0.5533
fetal_SAN_work,0.6594
fetal_SAN_work,0.5587
fetal_SAN_work,0.4124
fetal_SAN_work,0.5595
fetal_SAN_work,0.6624
fetal_SAN_work,0.7025
fetal_SAN_work,0.2763
fetal_SAN_work,0.6269
fetal_SAN_work,0.682
fetal_SAN_work,0.7028
fetal_SAN_work,0.5358
fetal_SAN_work,0.3636
fetal_SAN_work,0.5
fetal_SAN_work,0.6881
fetal_SAN_work,0.2889
fetal_SAN_work,0.439
fetal_SAN_work,0.6433
fetal_SAN_work,0.6344
fetal_SAN_work,0.7403
fetal_SAN_work,0.5128
fetal_SAN_work,0.6506
fetal_SAN_work,0.5692
fetal_SAN_work,0.7706
fetal_SAN_work,0.6773
fetal_SAN_work,0.6158
fetal_SAN_work,0.6496
fetal_SAN_work,0.6241
fetal_SAN_work,0.5916
fetal_SAN_work,0.6154
fetal_SAN_work,0.7812
fetal_SAN_work,0.625
fetal_SAN_work,0.7289
